files/4ds.odin:                                                                                   ASCII text
files/CIMI-CORE-ITEM_GROUP.actor_name.v1.0.0.odin:                                                UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.acylcarnitine_c0_serplsrto.v1.0.0.odin:                                UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.address.v2.0.0.odin:                                                   UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.address_detailed.v2.0.0.odin:                                          UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.address_line.v1.0.0.odin:                                              UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.adenosine_deaminase_rbcccnt.v1.0.0.odin:                               UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.adenylate_kinase_rbcccnt.v1.0.0.odin:                                  UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.afp_adj_mom_serpl.v1.0.0.odin:                                         UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.afp_ag_tiss_ql_imstn.v1.0.0.odin:                                      UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.afp_amnacnc.v1.0.0.odin:                                               UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.afp_interp_serplimp.v1.0.0.odin:                                       UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.afp_mom_serpl.v1.0.0.odin:                                             UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.afp_serplmcnc.v1.0.0.odin:                                             UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.afptm_serplmcnc.v1.0.0.odin:                                           UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.age.v1.0.0.odin:                                                       UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.age_at_delivery.v1.0.0.odin:                                           UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.age_reported.v1.0.0.odin:                                              UTF-8 Unicode text, with very long lines
files/CIMI-CORE-ITEM_GROUP.agran_neuts_bld_ql_smear.v1.0.0.odin:                                  UTF-8 Unicode text, with very long lines
